group,bin,status
error_x_state,read_error_no_install,COVERED
error_x_state,write_error_dirty_preserved,COVERED
lru_x_selected,lru0_way0,COVERED
lru_x_selected,lru0_way1,COVERED
lru_x_selected,lru1_way0,COVERED
lru_x_selected,lru1_way1,COVERED
maintenance_x_line,cmd0_clean,COVERED
maintenance_x_line,cmd0_dirty,COVERED
maintenance_x_line,cmd0_invalid,COVERED
maintenance_x_line,cmd1_clean,COVERED
maintenance_x_line,cmd1_dirty,COVERED
maintenance_x_line,cmd1_invalid,COVERED
maintenance_x_line,cmd2_clean,COVERED
maintenance_x_line,cmd2_dirty,COVERED
maintenance_x_line,cmd2_invalid,COVERED
offset_x_strobe,offset0_full,COVERED
offset_x_strobe,offset0_partial,COVERED
offset_x_strobe,offset0_single,COVERED
offset_x_strobe,offset1_full,COVERED
offset_x_strobe,offset1_partial,COVERED
offset_x_strobe,offset1_single,COVERED
offset_x_strobe,offset2_full,COVERED
offset_x_strobe,offset2_partial,COVERED
offset_x_strobe,offset2_single,COVERED
offset_x_strobe,offset3_full,COVERED
offset_x_strobe,offset3_partial,COVERED
offset_x_strobe,offset3_single,COVERED
offset_x_strobe,offset4_full,COVERED
offset_x_strobe,offset4_partial,COVERED
offset_x_strobe,offset4_single,COVERED
offset_x_strobe,offset5_full,COVERED
offset_x_strobe,offset5_partial,COVERED
offset_x_strobe,offset5_single,COVERED
offset_x_strobe,offset6_full,COVERED
offset_x_strobe,offset6_partial,COVERED
offset_x_strobe,offset6_single,COVERED
offset_x_strobe,offset7_full,COVERED
offset_x_strobe,offset7_partial,COVERED
offset_x_strobe,offset7_single,COVERED
phase_x_backpressure,refill_bp0,COVERED
phase_x_backpressure,refill_bp25,COVERED
phase_x_backpressure,refill_bp50,COVERED
phase_x_backpressure,refill_bp75,COVERED
phase_x_backpressure,writeback_bp0,COVERED
phase_x_backpressure,writeback_bp25,COVERED
phase_x_backpressure,writeback_bp50,COVERED
phase_x_backpressure,writeback_bp75,COVERED
rw_x_hit,read_hit,COVERED
rw_x_hit,read_miss,COVERED
rw_x_hit,write_hit,COVERED
rw_x_hit,write_miss,COVERED
victim_x_way,clean_way0,COVERED
victim_x_way,clean_way1,COVERED
victim_x_way,dirty_way0,COVERED
victim_x_way,dirty_way1,COVERED
