coverage_group,point_type,rtl_file,line,signal_or_branch,hit_count,reviewed_exclusion
baseline_2way,branch,l1_dcache_top.sv,159,if,0,none
baseline_2way,branch,l1_dcache_top.sv,309,else,0,none
baseline_2way,branch,l1_dcache_top.sv,380,else,0,none
baseline_2way,line,l1_dcache_top.sv,432,case,0,unreachable_defensive_default
baseline_2way,line,l1_dcache_top.sv,492,block,0,assertion_declaration_not_executable_rtl
baseline_2way,line,l1_dcache_top.sv,498,block,0,assertion_declaration_not_executable_rtl
baseline_2way,line,l1_dcache_top.sv,504,block,0,assertion_declaration_not_executable_rtl
baseline_2way,line,l1_dcache_top.sv,510,block,0,assertion_declaration_not_executable_rtl
baseline_2way,toggle,l1_dcache_top.sv,109,state[4],0,none
baseline_2way,toggle,l1_dcache_top.sv,112,valid_bits[0][10],0,none
baseline_2way,toggle,l1_dcache_top.sv,112,valid_bits[0][1],0,none
baseline_2way,toggle,l1_dcache_top.sv,112,valid_bits[0][30],0,none
baseline_2way,toggle,l1_dcache_top.sv,112,valid_bits[0][3],0,none
baseline_2way,toggle,l1_dcache_top.sv,112,valid_bits[0][45],0,none
baseline_2way,toggle,l1_dcache_top.sv,112,valid_bits[0][4],0,none
baseline_2way,toggle,l1_dcache_top.sv,112,valid_bits[0][51],0,none
baseline_2way,toggle,l1_dcache_top.sv,112,valid_bits[0][52],0,none
baseline_2way,toggle,l1_dcache_top.sv,112,valid_bits[0][56],0,none
baseline_2way,toggle,l1_dcache_top.sv,112,valid_bits[0][60],0,none
baseline_2way,toggle,l1_dcache_top.sv,112,valid_bits[0][62],0,none
baseline_2way,toggle,l1_dcache_top.sv,112,valid_bits[0][6],0,none
baseline_2way,toggle,l1_dcache_top.sv,112,valid_bits[0][7],0,none
baseline_2way,toggle,l1_dcache_top.sv,112,valid_bits[1][10],0,none
baseline_2way,toggle,l1_dcache_top.sv,112,valid_bits[1][14],0,none
baseline_2way,toggle,l1_dcache_top.sv,112,valid_bits[1][15],0,none
baseline_2way,toggle,l1_dcache_top.sv,112,valid_bits[1][19],0,none
baseline_2way,toggle,l1_dcache_top.sv,112,valid_bits[1][1],0,none
