group,cross_bin,status,evidence_class,same_window_evidence
store_buffer_ordering,h0_youngest_forward_occ2,COVERED,transaction_correlated_executable_rtl,build/coherent_closure/traces/sb_youngest_forward_h0_enriched.jsonl:cycle=137:txn=e1:h0:s1
store_buffer_ordering,h1_youngest_forward_occ2,COVERED,transaction_correlated_executable_rtl,build/coherent_closure/traces/sb_youngest_forward_h1_enriched.jsonl:cycle=137:txn=e1:h1:s1
store_buffer_ordering,h0_nonoverlap_bypass_occ1,COVERED,transaction_correlated_executable_rtl,build/coherent_closure/traces/sb_nonoverlap_bypass_h0_enriched.jsonl:cycle=135:txn=e1:h0:cycle135
store_buffer_ordering,h1_nonoverlap_bypass_occ1,COVERED,transaction_correlated_executable_rtl,build/coherent_closure/traces/sb_nonoverlap_bypass_h1_enriched.jsonl:cycle=135:txn=e1:h1:cycle135
store_buffer_ordering,full_fifo_backpressures_third_store,COVERED,transaction_correlated_executable_rtl,build/coherent_closure/traces/sb_full_stall_enriched.jsonl:cycle=137:txn=e1:h0:cycle137
store_buffer_ordering,h0_fifo_wrap,COVERED,transaction_correlated_executable_rtl,build/coherent_closure/traces/sb_wrap_h0_enriched.jsonl:cycle=335:txn=e1:h0:s5
store_buffer_ordering,h1_fifo_wrap,COVERED,transaction_correlated_executable_rtl,build/coherent_closure/traces/sb_wrap_h1_enriched.jsonl:cycle=335:txn=e1:h1:s5
store_buffer_ordering,fence_blocked_at_occupancy_two,COVERED,transaction_correlated_executable_rtl,build/coherent_closure/traces/fence_occupancy_two_enriched.jsonl:cycle=135:txn=e1:h0:cycle135
store_buffer_ordering,unfenced_mailbox_overtakes_store,COVERED,transaction_correlated_executable_rtl,build/coherent_closure/traces/mailbox_unfenced_overtake_enriched.jsonl:cycles=134->181:txn=e1:h0:ordering
store_buffer_ordering,fenced_mailbox_follows_store,COVERED,transaction_correlated_executable_rtl,build/coherent_closure/traces/mailbox_fenced_order_enriched.jsonl:cycles=181->184:txn=e1:h0:ordering
replacement_coherence,h0_clean_conflict,COVERED,transaction_correlated_executable_rtl,build/coherent_closure/traces/clean_conflict_h0_enriched.jsonl:cycle=147:txn=e1:h0:t1
replacement_coherence,h1_clean_conflict,COVERED,transaction_correlated_executable_rtl,build/coherent_closure/traces/clean_conflict_h1_enriched.jsonl:cycle=147:txn=e1:h1:t1
replacement_coherence,h0_dirty_conflict,COVERED,transaction_correlated_executable_rtl,build/coherent_closure/traces/dirty_conflict_h0_enriched.jsonl:cycle=187:txn=e1:h0:t1
replacement_coherence,h1_dirty_conflict,COVERED,transaction_correlated_executable_rtl,build/coherent_closure/traces/dirty_conflict_h1_enriched.jsonl:cycle=187:txn=e1:h1:t1
replacement_coherence,h0_shared_upgrade,COVERED,transaction_correlated_executable_rtl,build/coherent_closure/traces/shared_upgrade_h0_enriched.jsonl:cycle=202:txn=e1:h0:t1
replacement_coherence,h1_shared_upgrade,COVERED,transaction_correlated_executable_rtl,build/coherent_closure/traces/shared_upgrade_h1_enriched.jsonl:cycle=202:txn=e1:h1:t1
replacement_coherence,dirty_intervention_h0_to_h1,COVERED,transaction_correlated_executable_rtl,build/coherent_closure/traces/dirty_intervention_h0_h1_enriched.jsonl:cycle=187:txn=e1:h1:t0
replacement_coherence,dirty_intervention_h1_to_h0,COVERED,transaction_correlated_executable_rtl,build/coherent_closure/traces/dirty_intervention_h1_h0_enriched.jsonl:cycle=187:txn=e1:h0:t0
replacement_coherence,same_line_read_write_convergence,COVERED,transaction_correlated_executable_rtl,build/coherent_closure/traces/same_line_read_write_enriched.jsonl:cycle=177:txn=e1:h0:t0
