assertion,group,antecedent_hits,status,first_evidence
a_store_buffer_bound,store_buffer,66,ACTIVATED,build/coherent_closure/traces/dirty_conflict_h0_enriched.jsonl:cycle=131
a_forwarding_returns_youngest_match,store_buffer,2,ACTIVATED,build/coherent_closure/traces/sb_youngest_forward_h0_enriched.jsonl:cycle=137
a_failed_store_preserves_head,store_buffer,3,ACTIVATED,build/coherent/edge_traces/deferred_store_error_recovery_events.csv:cycle=47
a_fence_waits_for_prior_stores,store_buffer,1983,ACTIVATED,build/coherent_closure/traces/dirty_conflict_h0_enriched.jsonl:cycle=132
a_apb_stable_while_waiting,apb,628,ACTIVATED,build/coherent_closure/traces/clean_conflict_h0_enriched.jsonl:cycle=131
a_uncached_write_after_fence,apb,50,ACTIVATED,build/coherent_closure/traces/mailbox_fenced_order_enriched.jsonl:cycle=184
a_single_modified_owner,msi,38,ACTIVATED,build/coherent_closure/traces/dirty_conflict_h0_enriched.jsonl:cycle=176
a_dirty_victim_committed_before_install,msi,2,ACTIVATED,build/coherent_closure/traces/dirty_conflict_h0_enriched.jsonl:cycle=187
a_dirty_intervention_precedes_grant,msi,7,ACTIVATED,build/coherent_closure/traces/dirty_intervention_h0_h1_enriched.jsonl:cycle=187
a_shared_upgrade_invalidates_remote,msi,2,ACTIVATED,build/coherent_closure/traces/shared_upgrade_h0_enriched.jsonl:cycle=202
a_bank_alias_matches,transport,443,ACTIVATED,build/coherent_closure/traces/clean_conflict_h0_enriched.jsonl:cycle=134
a_axi_response_owner_recorded,transport,446,ACTIVATED,build/coherent_closure/traces/clean_conflict_h0_enriched.jsonl:cycle=139
a_response_stable,transport,22,ACTIVATED,build/coherent_transport/traces/read_response_backpressure_events.csv:cycle=9
a_simultaneous_home_requests_use_distinct_banks,transport,381,ACTIVATED,build/coherent_closure/traces/dual_bank_overlap_end_to_end_enriched.jsonl:cycle=176
a_age_override_requires_presented_grant,qos,40,ACTIVATED,build/coherent_transport/traces/mixed_qos_events.csv:cycle=31
a_equal_qos_progress_h0,qos,168,ACTIVATED,build/coherent_transport/traces/different_bank_events.csv:cycle=2
a_equal_qos_progress_h1,qos,168,ACTIVATED,build/coherent_transport/traces/different_bank_events.csv:cycle=2
a_load_error_is_precise,error,4,ACTIVATED,build/coherent/edge_traces/precise_load_error_events.csv:cycle=37
a_reset_epoch_contains_responses,reset,7,ACTIVATED,build/coherent/edge_traces/reset_idle_events.csv:cycle=1
a_final_physical_state_matches_model,reference,5760,ACTIVATED,build/coherent_closure/traces/clean_conflict_h0_enriched.jsonl:cycle=172
