group,cross_bin,status,evidence_class,same_window_evidence
litmus_fence_outcome,coherence_read_read__unfenced,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/co-rr_00_events.csv
litmus_fence_outcome,coherence_read_read__fenced,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/co-rr_fence_00_events.csv
litmus_fence_outcome,coherence_write_write__unfenced,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/co-ww_00_events.csv
litmus_fence_outcome,coherence_write_write__fenced,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/co-ww_fence_00_events.csv
litmus_fence_outcome,load_buffering__unfenced,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/lb_00_events.csv
litmus_fence_outcome,load_buffering__fenced,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/lb_fence_00_events.csv
litmus_fence_outcome,message_passing__unfenced,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/mp_00_events.csv
litmus_fence_outcome,message_passing__fenced,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/mp_fence_00_events.csv
litmus_fence_outcome,read_write__unfenced,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/rw_00_events.csv
litmus_fence_outcome,read_write__fenced,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/rw_fence_00_events.csv
litmus_fence_outcome,store_buffering__unfenced,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/sb_00_events.csv
litmus_fence_outcome,store_buffering__fenced,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/sb_fence_00_events.csv
litmus_fence_outcome,write_read__unfenced,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/wr_00_events.csv
litmus_fence_outcome,write_read__fenced,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/wr_fence_00_events.csv
litmus_fence_outcome,write_read_causality__unfenced,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/wrc_00_events.csv
litmus_fence_outcome,write_read_causality__fenced,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/wrc_fence_00_events.csv
buffer_action_occupancy,h0_enqueue_occ1,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/co-rr_00_enriched.jsonl:cycle=23
buffer_action_occupancy,h0_enqueue_occ2,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/co-ww_00_enriched.jsonl:cycle=34
buffer_action_occupancy,h0_drain_occ1,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/co-rr_00_enriched.jsonl:cycle=36
buffer_action_occupancy,h0_forward_occ1,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/wr_00_enriched.jsonl:cycle=28
buffer_action_occupancy,h0_bypass_occ1,COVERED,same_window_executable_rtl,build/coherent/coverage_edge_traces/buffer_bypass_enriched.jsonl:cycle=32
buffer_action_occupancy,h0_fence_wait_occ1,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/co-rr_00_enriched.jsonl:cycle=25
buffer_action_occupancy,h1_enqueue_occ1,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/co-ww_00_enriched.jsonl:cycle=23
buffer_action_occupancy,h1_enqueue_occ2,COVERED,same_window_executable_rtl,build/coherent/edge_traces/reset_concurrent_banks_events.jsonl:cycle=77
buffer_action_occupancy,h1_drain_occ1,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/co-ww_00_enriched.jsonl:cycle=44
buffer_action_occupancy,h1_forward_occ1,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/co-ww_00_enriched.jsonl:cycle=28
buffer_action_occupancy,h1_bypass_occ1,COVERED,same_window_executable_rtl,build/coherent/coverage_edge_traces/buffer_bypass_enriched.jsonl:cycle=32
buffer_action_occupancy,h1_fence_wait_occ1,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/co-ww_fence_00_enriched.jsonl:cycle=25
coherence_transition_hart,h0_I->S,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/lb_00_enriched.jsonl:cycle=24
coherence_transition_hart,h0_I->M,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/co-rr_00_enriched.jsonl:cycle=31
coherence_transition_hart,h0_S->M,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/co-rr_00_enriched.jsonl:cycle=57
coherence_transition_hart,h0_M->M,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/co-rr_04_enriched.jsonl:cycle=93
coherence_transition_hart,h1_I->S,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/co-rr_00_enriched.jsonl:cycle=24
coherence_transition_hart,h1_I->M,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/co-ww_00_enriched.jsonl:cycle=39
coherence_transition_hart,h1_S->M,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/lb_03_enriched.jsonl:cycle=62
coherence_transition_hart,h1_M->M,COVERED,same_window_executable_rtl,build/coherent/rtl_litmus_traces/co-ww_fence_00_enriched.jsonl:cycle=54
home_occupancy_backpressure,low_bp0,COVERED,same_window_executable_rtl,build/coherent/performance_traces/perf_buffered_bp0_w0_events.csv
home_occupancy_backpressure,high_bp0,COVERED,same_window_executable_rtl,build/coherent/performance_traces/perf_buffered_bp0_w9_events.csv
home_occupancy_backpressure,low_bp25,COVERED,same_window_executable_rtl,build/coherent/performance_traces/perf_buffered_bp25_w0_events.csv
home_occupancy_backpressure,high_bp25,COVERED,same_window_executable_rtl,build/coherent/performance_traces/perf_buffered_bp25_w9_events.csv
home_occupancy_backpressure,low_bp50,COVERED,same_window_executable_rtl,build/coherent/performance_traces/perf_buffered_bp50_w0_events.csv
home_occupancy_backpressure,high_bp50,COVERED,same_window_executable_rtl,build/coherent/performance_traces/perf_buffered_bp50_w9_events.csv
home_occupancy_backpressure,low_bp75,COVERED,same_window_executable_rtl,build/coherent/performance_traces/perf_buffered_bp75_w0_events.csv
home_occupancy_backpressure,high_bp75,COVERED,same_window_executable_rtl,build/coherent/performance_traces/perf_buffered_bp75_w9_events.csv
reset_error_outstanding,idle,COVERED,same_window_executable_rtl,build/coherent/edge_traces/reset_idle_events.csv
reset_error_outstanding,store_pending,COVERED,same_window_executable_rtl,build/coherent/edge_traces/reset_store_pending_events.csv
reset_error_outstanding,read_outstanding,COVERED,same_window_executable_rtl,build/coherent/edge_traces/reset_read_outstanding_events.csv
reset_error_outstanding,response_pending,COVERED,same_window_executable_rtl,build/coherent/edge_traces/reset_response_pending_events.csv
