scenario,group,evidence_class,status,first_mismatch,artifact
sb_youngest_forward_h0,store_buffer_ordering,executable_rtl_integration,PASS,none,build/coherent_closure/traces/sb_youngest_forward_h0_events.csv
sb_youngest_forward_h1,store_buffer_ordering,executable_rtl_integration,PASS,none,build/coherent_closure/traces/sb_youngest_forward_h1_events.csv
sb_nonoverlap_bypass_h0,store_buffer_ordering,executable_rtl_integration,PASS,none,build/coherent_closure/traces/sb_nonoverlap_bypass_h0_events.csv
sb_nonoverlap_bypass_h1,store_buffer_ordering,executable_rtl_integration,PASS,none,build/coherent_closure/traces/sb_nonoverlap_bypass_h1_events.csv
sb_full_stall,store_buffer_ordering,executable_rtl_integration,PASS,none,build/coherent_closure/traces/sb_full_stall_events.csv
sb_wrap_h0,store_buffer_ordering,executable_rtl_integration,PASS,none,build/coherent_closure/traces/sb_wrap_h0_events.csv
sb_wrap_h1,store_buffer_ordering,executable_rtl_integration,PASS,none,build/coherent_closure/traces/sb_wrap_h1_events.csv
fence_occupancy_two,store_buffer_ordering,executable_rtl_integration,PASS,none,build/coherent_closure/traces/fence_occupancy_two_events.csv
mailbox_unfenced_overtake,store_buffer_ordering,executable_rtl_integration,PASS,none,build/coherent_closure/traces/mailbox_unfenced_overtake_events.csv
mailbox_fenced_order,store_buffer_ordering,executable_rtl_integration,PASS,none,build/coherent_closure/traces/mailbox_fenced_order_events.csv
clean_conflict_h0,coherent_replacement,executable_rtl_integration,PASS,none,build/coherent_closure/traces/clean_conflict_h0_events.csv
clean_conflict_h1,coherent_replacement,executable_rtl_integration,PASS,none,build/coherent_closure/traces/clean_conflict_h1_events.csv
dirty_conflict_h0,coherent_replacement,executable_rtl_integration,PASS,none,build/coherent_closure/traces/dirty_conflict_h0_events.csv
dirty_conflict_h1,coherent_replacement,executable_rtl_integration,PASS,none,build/coherent_closure/traces/dirty_conflict_h1_events.csv
shared_upgrade_h0,coherent_replacement,executable_rtl_integration,PASS,none,build/coherent_closure/traces/shared_upgrade_h0_events.csv
shared_upgrade_h1,coherent_replacement,executable_rtl_integration,PASS,none,build/coherent_closure/traces/shared_upgrade_h1_events.csv
dirty_intervention_h0_h1,coherent_replacement,executable_rtl_integration,PASS,none,build/coherent_closure/traces/dirty_intervention_h0_h1_events.csv
dirty_intervention_h1_h0,coherent_replacement,executable_rtl_integration,PASS,none,build/coherent_closure/traces/dirty_intervention_h1_h0_events.csv
same_line_read_write,coherent_replacement,executable_rtl_integration,PASS,none,build/coherent_closure/traces/same_line_read_write_events.csv
same_line_write_write,coherent_replacement,executable_rtl_integration,PASS,none,build/coherent_closure/traces/same_line_write_write_events.csv
dual_bank_overlap_end_to_end,concurrency,executable_rtl_integration,PASS,none,build/coherent_closure/traces/dual_bank_overlap_end_to_end_events.csv
precise_load_error,error_reset,executable_rtl,PASS,none,build/coherent/edge_traces/precise_load_error_events.csv
deferred_store_error_recovery,error_reset,executable_rtl,PASS,none,build/coherent/edge_traces/deferred_store_error_recovery_events.csv
reset_idle,error_reset,executable_rtl,PASS,none,build/coherent/edge_traces/reset_idle_events.csv
reset_store_pending,error_reset,executable_rtl,PASS,none,build/coherent/edge_traces/reset_store_pending_events.csv
reset_read_outstanding,error_reset,executable_rtl,PASS,none,build/coherent/edge_traces/reset_read_outstanding_events.csv
reset_response_pending,error_reset,executable_rtl,PASS,none,build/coherent/edge_traces/reset_response_pending_events.csv
reset_concurrent_banks,error_reset,executable_rtl,PASS,none,build/coherent/edge_traces/reset_concurrent_banks_events.csv
reset_dirty_owner,error_reset,executable_rtl,PASS,none,build/coherent/edge_traces/reset_dirty_owner_events.csv
reset_failed_store_pending,error_reset,executable_rtl,PASS,none,build/coherent/edge_traces/reset_failed_store_pending_events.csv
different_bank,qos_concurrency,executable_rtl_transport,PASS,none,build/coherent_transport/traces/different_bank_events.csv
same_bank_equal,qos_concurrency,executable_rtl_transport,PASS,none,build/coherent_transport/traces/same_bank_equal_events.csv
mixed_qos,qos_concurrency,executable_rtl_transport,PASS,none,build/coherent_transport/traces/mixed_qos_events.csv
starvation_override,qos_concurrency,executable_rtl_transport,PASS,none,build/coherent_transport/traces/starvation_override_events.csv
