scenario,group,evidence_class,status,checks,cycles,first_mismatch,final_backing_words_checked,final_cache_words_checked,event_trace,enriched_trace
sb_youngest_forward_h0,store_buffer_ordering,executable_rtl_integration,PASS,1,252,none,64,128,build/coherent_closure/traces/sb_youngest_forward_h0_events.csv,build/coherent_closure/traces/sb_youngest_forward_h0_enriched.jsonl
sb_youngest_forward_h1,store_buffer_ordering,executable_rtl_integration,PASS,1,252,none,64,128,build/coherent_closure/traces/sb_youngest_forward_h1_events.csv,build/coherent_closure/traces/sb_youngest_forward_h1_enriched.jsonl
sb_nonoverlap_bypass_h0,store_buffer_ordering,executable_rtl_integration,PASS,1,201,none,64,128,build/coherent_closure/traces/sb_nonoverlap_bypass_h0_events.csv,build/coherent_closure/traces/sb_nonoverlap_bypass_h0_enriched.jsonl
sb_nonoverlap_bypass_h1,store_buffer_ordering,executable_rtl_integration,PASS,1,201,none,64,128,build/coherent_closure/traces/sb_nonoverlap_bypass_h1_events.csv,build/coherent_closure/traces/sb_nonoverlap_bypass_h1_enriched.jsonl
sb_full_stall,store_buffer_ordering,executable_rtl_integration,PASS,1,303,none,64,128,build/coherent_closure/traces/sb_full_stall_events.csv,build/coherent_closure/traces/sb_full_stall_enriched.jsonl
sb_wrap_h0,store_buffer_ordering,executable_rtl_integration,PASS,1,467,none,64,128,build/coherent_closure/traces/sb_wrap_h0_events.csv,build/coherent_closure/traces/sb_wrap_h0_enriched.jsonl
sb_wrap_h1,store_buffer_ordering,executable_rtl_integration,PASS,1,467,none,64,128,build/coherent_closure/traces/sb_wrap_h1_events.csv,build/coherent_closure/traces/sb_wrap_h1_enriched.jsonl
fence_occupancy_two,store_buffer_ordering,executable_rtl_integration,PASS,2,252,none,64,128,build/coherent_closure/traces/fence_occupancy_two_events.csv,build/coherent_closure/traces/fence_occupancy_two_enriched.jsonl
mailbox_unfenced_overtake,store_buffer_ordering,executable_rtl_integration,PASS,1,201,none,64,128,build/coherent_closure/traces/mailbox_unfenced_overtake_events.csv,build/coherent_closure/traces/mailbox_unfenced_overtake_enriched.jsonl
mailbox_fenced_order,store_buffer_ordering,executable_rtl_integration,PASS,1,203,none,64,128,build/coherent_closure/traces/mailbox_fenced_order_events.csv,build/coherent_closure/traces/mailbox_fenced_order_enriched.jsonl
clean_conflict_h0,coherent_replacement,executable_rtl_integration,PASS,1,172,none,64,128,build/coherent_closure/traces/clean_conflict_h0_events.csv,build/coherent_closure/traces/clean_conflict_h0_enriched.jsonl
clean_conflict_h1,coherent_replacement,executable_rtl_integration,PASS,1,172,none,64,128,build/coherent_closure/traces/clean_conflict_h1_events.csv,build/coherent_closure/traces/clean_conflict_h1_enriched.jsonl
dirty_conflict_h0,coherent_replacement,executable_rtl_integration,PASS,1,212,none,64,128,build/coherent_closure/traces/dirty_conflict_h0_events.csv,build/coherent_closure/traces/dirty_conflict_h0_enriched.jsonl
dirty_conflict_h1,coherent_replacement,executable_rtl_integration,PASS,1,212,none,64,128,build/coherent_closure/traces/dirty_conflict_h1_events.csv,build/coherent_closure/traces/dirty_conflict_h1_enriched.jsonl
shared_upgrade_h0,coherent_replacement,executable_rtl_integration,PASS,1,238,none,64,128,build/coherent_closure/traces/shared_upgrade_h0_events.csv,build/coherent_closure/traces/shared_upgrade_h0_enriched.jsonl
shared_upgrade_h1,coherent_replacement,executable_rtl_integration,PASS,1,238,none,64,128,build/coherent_closure/traces/shared_upgrade_h1_events.csv,build/coherent_closure/traces/shared_upgrade_h1_enriched.jsonl
dirty_intervention_h0_h1,coherent_replacement,executable_rtl_integration,PASS,1,212,none,64,128,build/coherent_closure/traces/dirty_intervention_h0_h1_events.csv,build/coherent_closure/traces/dirty_intervention_h0_h1_enriched.jsonl
dirty_intervention_h1_h0,coherent_replacement,executable_rtl_integration,PASS,1,212,none,64,128,build/coherent_closure/traces/dirty_intervention_h1_h0_events.csv,build/coherent_closure/traces/dirty_intervention_h1_h0_enriched.jsonl
same_line_read_write,coherent_replacement,executable_rtl_integration,PASS,1,213,none,64,128,build/coherent_closure/traces/same_line_read_write_events.csv,build/coherent_closure/traces/same_line_read_write_enriched.jsonl
same_line_write_write,coherent_replacement,executable_rtl_integration,PASS,1,232,none,64,128,build/coherent_closure/traces/same_line_write_write_events.csv,build/coherent_closure/traces/same_line_write_write_enriched.jsonl
dual_bank_overlap_end_to_end,concurrency,executable_rtl_integration,PASS,1,201,none,64,128,build/coherent_closure/traces/dual_bank_overlap_end_to_end_events.csv,build/coherent_closure/traces/dual_bank_overlap_end_to_end_enriched.jsonl
