property_group,proof_mode,implementation_scope,depth,prove_status,cover_status,runtime_seconds,detail
no_dual_modified_owner,solver_inductive_safety,msi_implementation,20,PASS,PASS,build_log_only,none
no_shared_plus_modified,solver_inductive_safety,msi_implementation,20,PASS,PASS,build_log_only,none
fifo_store_draining,solver_inductive_safety,store_buffer_implementation,20,PASS,PASS,build_log_only,none
same_address_forwarding,solver_inductive_safety,store_buffer_implementation,20,PASS,PASS,build_log_only,none
fence_prior_store_order,solver_inductive_safety,store_buffer_implementation,20,PASS,PASS,build_log_only,none
failed_store_head_preservation,solver_bounded_safety,store_buffer_implementation,20,PASS,PASS,build_log_only,none
dirty_victim_writeback_before_install,solver_inductive_safety,msi_implementation,20,PASS,PASS,build_log_only,none
fenced_publication_freshness,solver_inductive_safety,reduced_architectural_model,20,PASS,PASS,build_log_only,none
response_hart_ownership,solver_inductive_safety,reduced_architectural_model,20,PASS,PASS,build_log_only,none
reset_epoch_containment,solver_inductive_safety,reduced_architectural_model,20,PASS,PASS,build_log_only,none
