group,coverage_point,status,evidence_class,evidence
instruction_ordering,litmus_sb,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/sb_00_events.csv
instruction_ordering,litmus_sb_fence,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/sb_fence_00_events.csv
instruction_ordering,litmus_mp,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/mp_00_events.csv
instruction_ordering,litmus_mp_fence,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/mp_fence_00_events.csv
instruction_ordering,litmus_lb,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/lb_00_events.csv
instruction_ordering,litmus_lb_fence,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/lb_fence_00_events.csv
instruction_ordering,litmus_rw,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/rw_00_events.csv
instruction_ordering,litmus_rw_fence,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/rw_fence_00_events.csv
instruction_ordering,litmus_wr,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/wr_00_events.csv
instruction_ordering,litmus_wr_fence,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/wr_fence_00_events.csv
instruction_ordering,litmus_co-rr,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/co-rr_00_events.csv
instruction_ordering,litmus_co-rr_fence,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/co-rr_fence_00_events.csv
instruction_ordering,litmus_co-ww,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/co-ww_00_events.csv
instruction_ordering,litmus_co-ww_fence,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/co-ww_fence_00_events.csv
instruction_ordering,litmus_wrc,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/wrc_00_events.csv
instruction_ordering,litmus_wrc_fence,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/wrc_fence_00_events.csv
buffering,enqueue_h0,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/co-rr_00_enriched.jsonl:cycle=23
buffering,enqueue_h1,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/co-ww_00_enriched.jsonl:cycle=23
buffering,drain_h0,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/co-rr_00_enriched.jsonl:cycle=36
buffering,drain_h1,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/co-ww_00_enriched.jsonl:cycle=44
buffering,forward_h0,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/wr_00_enriched.jsonl:cycle=28
buffering,forward_h1,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/co-ww_00_enriched.jsonl:cycle=28
buffering,bypass_h0,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/lb_00_enriched.jsonl:cycle=21
buffering,bypass_h1,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/co-rr_00_enriched.jsonl:cycle=21
buffering,fence_wait_h0,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/co-rr_00_enriched.jsonl:cycle=25
buffering,fence_wait_h1,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/co-ww_fence_00_enriched.jsonl:cycle=25
buffering,occupancy_two_h0,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/co-ww_00_enriched.jsonl:cycle=34
buffering,occupancy_two_h1,COVERED,executable_rtl,build/coherent/edge_traces/reset_concurrent_banks_events.jsonl:cycle=77
coherence,read_miss_h0,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/lb_00_enriched.jsonl:cycle=24
coherence,local_hit_h0,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/co-rr_00_enriched.jsonl:cycle=57
coherence,write_miss_h0,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/co-rr_00_enriched.jsonl:cycle=31
coherence,shared_upgrade_h0,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/co-rr_00_enriched.jsonl:cycle=57
coherence,intervention_to_h0,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/co-ww_00_enriched.jsonl:cycle=46
coherence,invalidation_by_h0,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/co-rr_00_enriched.jsonl:cycle=31
coherence,home_data_to_h0,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/co-rr_00_enriched.jsonl:cycle=31
coherence,dirty_data_to_h0,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/co-ww_00_enriched.jsonl:cycle=46
coherence,modified_rewrite_h0,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/co-rr_04_enriched.jsonl:cycle=93
coherence,response_owner_h0,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/co-rr_00_enriched.jsonl:cycle=36
coherence,read_miss_h1,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/co-rr_00_enriched.jsonl:cycle=24
coherence,local_hit_h1,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/co-rr_04_enriched.jsonl:cycle=51
coherence,write_miss_h1,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/co-ww_00_enriched.jsonl:cycle=39
coherence,shared_upgrade_h1,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/lb_03_enriched.jsonl:cycle=62
coherence,intervention_to_h1,COVERED,executable_rtl,build/coherent/rtl_litmus_traces/co-rr_00_enriched.jsonl:cycle=38
