scenario,workload,optimization,status,cycles,retirements,cpi,forwarded_loads,bypassed_loads,drained_stores,invalidations,interventions,dirty_writebacks,axi_wait_cycles,simultaneous_bank_cycles,grants_h0,grants_h1,age_overrides,reset_epoch,first_mismatch,trace,event_trace,enriched_trace
workload0_O0,0,-O0,PASS,281,154,1.825,0,1,1,0,1,0,1,0,1,1,0,1,none,build/coherent/traces/workload0_O0.csv,build/coherent/event_traces/workload0_O0.csv,build/coherent/event_traces/workload0_O0_enriched.jsonl
workload0_O2,0,-O2,PASS,168,73,2.301,0,1,1,0,1,0,0,0,1,1,0,1,none,build/coherent/traces/workload0_O2.csv,build/coherent/event_traces/workload0_O2.csv,build/coherent/event_traces/workload0_O2_enriched.jsonl
workload0_Os,0,-Os,PASS,157,69,2.275,0,1,1,0,1,0,0,0,1,1,0,1,none,build/coherent/traces/workload0_Os.csv,build/coherent/event_traces/workload0_Os.csv,build/coherent/event_traces/workload0_Os_enriched.jsonl
workload1_O0,1,-O0,PASS,175,81,2.160,0,2,2,1,2,0,14,0,2,2,0,1,none,build/coherent/traces/workload1_O0.csv,build/coherent/event_traces/workload1_O0.csv,build/coherent/event_traces/workload1_O0_enriched.jsonl
workload1_O2,1,-O2,PASS,113,37,3.054,0,2,2,1,2,0,19,0,2,2,0,1,none,build/coherent/traces/workload1_O2.csv,build/coherent/event_traces/workload1_O2.csv,build/coherent/event_traces/workload1_O2_enriched.jsonl
workload1_Os,1,-Os,PASS,113,36,3.139,0,2,2,1,2,0,19,0,2,2,0,1,none,build/coherent/traces/workload1_Os.csv,build/coherent/event_traces/workload1_Os.csv,build/coherent/event_traces/workload1_Os_enriched.jsonl
workload2_O0,2,-O0,PASS,289,121,2.388,0,4,2,2,2,0,5,0,2,4,0,1,none,build/coherent/traces/workload2_O0.csv,build/coherent/event_traces/workload2_O0.csv,build/coherent/event_traces/workload2_O0_enriched.jsonl
workload2_O2,2,-O2,PASS,168,49,3.429,0,4,2,2,2,0,9,0,2,4,0,1,none,build/coherent/traces/workload2_O2.csv,build/coherent/event_traces/workload2_O2.csv,build/coherent/event_traces/workload2_O2_enriched.jsonl
workload2_Os,2,-Os,PASS,168,49,3.429,0,4,2,2,2,0,9,0,2,4,0,1,none,build/coherent/traces/workload2_Os.csv,build/coherent/event_traces/workload2_Os.csv,build/coherent/event_traces/workload2_Os_enriched.jsonl
workload3_O0,3,-O0,PASS,704,343,2.052,0,23,8,8,8,0,31,0,16,15,0,1,none,build/coherent/traces/workload3_O0.csv,build/coherent/event_traces/workload3_O0.csv,build/coherent/event_traces/workload3_O0_enriched.jsonl
workload3_O2,3,-O2,PASS,387,107,3.617,0,21,8,8,8,0,78,0,14,15,0,1,none,build/coherent/traces/workload3_O2.csv,build/coherent/event_traces/workload3_O2.csv,build/coherent/event_traces/workload3_O2_enriched.jsonl
workload3_Os,3,-Os,PASS,387,107,3.617,0,21,8,8,8,0,78,0,14,15,0,1,none,build/coherent/traces/workload3_Os.csv,build/coherent/event_traces/workload3_Os.csv,build/coherent/event_traces/workload3_Os_enriched.jsonl
workload4_O0,4,-O0,PASS,395,237,1.667,0,0,8,7,7,0,10,0,4,4,0,1,none,build/coherent/traces/workload4_O0.csv,build/coherent/event_traces/workload4_O0.csv,build/coherent/event_traces/workload4_O0_enriched.jsonl
workload4_O2,4,-O2,PASS,164,50,3.280,0,0,8,7,7,0,12,0,4,4,0,1,none,build/coherent/traces/workload4_O2.csv,build/coherent/event_traces/workload4_O2.csv,build/coherent/event_traces/workload4_O2_enriched.jsonl
workload4_Os,4,-Os,PASS,164,50,3.280,0,0,8,7,7,0,12,0,4,4,0,1,none,build/coherent/traces/workload4_Os.csv,build/coherent/event_traces/workload4_Os.csv,build/coherent/event_traces/workload4_Os_enriched.jsonl
workload5_O0,5,-O0,PASS,285,148,1.926,0,2,1,0,1,0,2,0,1,2,0,1,none,build/coherent/traces/workload5_O0.csv,build/coherent/event_traces/workload5_O0.csv,build/coherent/event_traces/workload5_O0_enriched.jsonl
workload5_O2,5,-O2,PASS,181,76,2.382,0,2,1,0,1,0,2,0,1,2,0,1,none,build/coherent/traces/workload5_O2.csv,build/coherent/event_traces/workload5_O2.csv,build/coherent/event_traces/workload5_O2_enriched.jsonl
workload5_Os,5,-Os,PASS,180,75,2.400,0,2,1,0,1,0,1,0,1,2,0,1,none,build/coherent/traces/workload5_Os.csv,build/coherent/event_traces/workload5_Os.csv,build/coherent/event_traces/workload5_Os_enriched.jsonl
workload6_O0,6,-O0,PASS,478,252,1.897,0,12,6,6,6,0,5,0,9,9,0,1,none,build/coherent/traces/workload6_O0.csv,build/coherent/event_traces/workload6_O0.csv,build/coherent/event_traces/workload6_O0_enriched.jsonl
workload6_O2,6,-O2,PASS,264,78,3.385,0,12,6,6,6,0,22,0,9,9,0,1,none,build/coherent/traces/workload6_O2.csv,build/coherent/event_traces/workload6_O2.csv,build/coherent/event_traces/workload6_O2_enriched.jsonl
workload6_Os,6,-Os,PASS,274,80,3.425,0,12,6,6,6,0,30,0,9,9,0,1,none,build/coherent/traces/workload6_Os.csv,build/coherent/event_traces/workload6_Os.csv,build/coherent/event_traces/workload6_Os_enriched.jsonl
workload7_O0,7,-O0,PASS,287,129,2.225,0,2,2,0,2,0,2,0,2,2,0,1,none,build/coherent/traces/workload7_O0.csv,build/coherent/event_traces/workload7_O0.csv,build/coherent/event_traces/workload7_O0_enriched.jsonl
workload7_O2,7,-O2,PASS,187,65,2.877,0,2,2,0,2,0,2,0,2,2,0,1,none,build/coherent/traces/workload7_O2.csv,build/coherent/event_traces/workload7_O2.csv,build/coherent/event_traces/workload7_O2_enriched.jsonl
