litmus,family,fenced,schedule,seed,r0,r1,outcome,oracle,status,forbidden,invariant_failure,trace
SB,store_buffering,false,0,19628,1,0,"1,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_00.jsonl
SB,store_buffering,false,1,19725,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_01.jsonl
SB,store_buffering,false,2,19822,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_02.jsonl
SB,store_buffering,false,3,19919,1,0,"1,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_03.jsonl
SB,store_buffering,false,4,20016,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_04.jsonl
SB,store_buffering,false,5,20113,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_05.jsonl
SB,store_buffering,false,6,20210,1,1,"1,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_06.jsonl
SB,store_buffering,false,7,20307,1,1,"1,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_07.jsonl
SB,store_buffering,false,8,20404,1,0,"1,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_08.jsonl
SB,store_buffering,false,9,20501,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_09.jsonl
SB,store_buffering,false,10,20598,1,0,"1,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_10.jsonl
SB,store_buffering,false,11,20695,1,0,"1,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_11.jsonl
SB,store_buffering,false,12,20792,1,0,"1,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_12.jsonl
SB,store_buffering,false,13,20889,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_13.jsonl
SB,store_buffering,false,14,20986,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_14.jsonl
SB,store_buffering,false,15,21083,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_15.jsonl
SB,store_buffering,false,16,21180,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_16.jsonl
SB,store_buffering,false,17,21277,1,0,"1,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_17.jsonl
SB,store_buffering,false,18,21374,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_18.jsonl
SB,store_buffering,false,19,21471,1,1,"1,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_19.jsonl
SB,store_buffering,false,20,21568,1,0,"1,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_20.jsonl
SB,store_buffering,false,21,21665,1,0,"1,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_21.jsonl
SB,store_buffering,false,22,21762,1,0,"1,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_22.jsonl
SB,store_buffering,false,23,21859,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_23.jsonl
SB,store_buffering,false,24,21956,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_24.jsonl
SB_FENCE,store_buffering,true,0,20076,1,1,"1,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_fence_00.jsonl
SB_FENCE,store_buffering,true,1,20173,1,1,"1,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_fence_01.jsonl
SB_FENCE,store_buffering,true,2,20270,1,1,"1,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_fence_02.jsonl
SB_FENCE,store_buffering,true,3,20367,1,1,"1,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_fence_03.jsonl
SB_FENCE,store_buffering,true,4,20464,1,1,"1,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_fence_04.jsonl
SB_FENCE,store_buffering,true,5,20561,1,1,"1,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_fence_05.jsonl
SB_FENCE,store_buffering,true,6,20658,1,1,"1,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_fence_06.jsonl
SB_FENCE,store_buffering,true,7,20755,1,1,"1,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_fence_07.jsonl
SB_FENCE,store_buffering,true,8,20852,1,1,"1,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_fence_08.jsonl
SB_FENCE,store_buffering,true,9,20949,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_fence_09.jsonl
SB_FENCE,store_buffering,true,10,21046,1,0,"1,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_fence_10.jsonl
SB_FENCE,store_buffering,true,11,21143,1,1,"1,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_fence_11.jsonl
SB_FENCE,store_buffering,true,12,21240,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_fence_12.jsonl
SB_FENCE,store_buffering,true,13,21337,1,0,"1,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_fence_13.jsonl
SB_FENCE,store_buffering,true,14,21434,1,1,"1,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_fence_14.jsonl
SB_FENCE,store_buffering,true,15,21531,1,1,"1,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_fence_15.jsonl
SB_FENCE,store_buffering,true,16,21628,1,0,"1,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_fence_16.jsonl
SB_FENCE,store_buffering,true,17,21725,1,1,"1,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_fence_17.jsonl
SB_FENCE,store_buffering,true,18,21822,1,1,"1,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_fence_18.jsonl
SB_FENCE,store_buffering,true,19,21919,1,1,"1,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_fence_19.jsonl
SB_FENCE,store_buffering,true,20,22016,1,1,"1,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_fence_20.jsonl
SB_FENCE,store_buffering,true,21,22113,1,1,"1,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_fence_21.jsonl
SB_FENCE,store_buffering,true,22,22210,1,1,"1,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_fence_22.jsonl
SB_FENCE,store_buffering,true,23,22307,1,0,"1,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_fence_23.jsonl
SB_FENCE,store_buffering,true,24,22404,1,1,"1,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/sb_fence_24.jsonl
MP,message_passing,false,0,19636,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_00.jsonl
MP,message_passing,false,1,19733,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_01.jsonl
MP,message_passing,false,2,19830,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_02.jsonl
MP,message_passing,false,3,19927,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_03.jsonl
MP,message_passing,false,4,20024,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_04.jsonl
MP,message_passing,false,5,20121,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_05.jsonl
MP,message_passing,false,6,20218,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_06.jsonl
MP,message_passing,false,7,20315,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_07.jsonl
MP,message_passing,false,8,20412,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_08.jsonl
MP,message_passing,false,9,20509,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_09.jsonl
MP,message_passing,false,10,20606,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_10.jsonl
MP,message_passing,false,11,20703,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_11.jsonl
MP,message_passing,false,12,20800,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_12.jsonl
MP,message_passing,false,13,20897,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_13.jsonl
MP,message_passing,false,14,20994,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_14.jsonl
MP,message_passing,false,15,21091,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_15.jsonl
MP,message_passing,false,16,21188,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_16.jsonl
MP,message_passing,false,17,21285,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_17.jsonl
MP,message_passing,false,18,21382,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_18.jsonl
MP,message_passing,false,19,21479,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_19.jsonl
MP,message_passing,false,20,21576,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_20.jsonl
MP,message_passing,false,21,21673,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_21.jsonl
MP,message_passing,false,22,21770,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_22.jsonl
MP,message_passing,false,23,21867,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_23.jsonl
MP,message_passing,false,24,21964,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_24.jsonl
MP_FENCE,message_passing,true,0,20084,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_fence_00.jsonl
MP_FENCE,message_passing,true,1,20181,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_fence_01.jsonl
MP_FENCE,message_passing,true,2,20278,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_fence_02.jsonl
MP_FENCE,message_passing,true,3,20375,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_fence_03.jsonl
MP_FENCE,message_passing,true,4,20472,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_fence_04.jsonl
MP_FENCE,message_passing,true,5,20569,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_fence_05.jsonl
MP_FENCE,message_passing,true,6,20666,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_fence_06.jsonl
MP_FENCE,message_passing,true,7,20763,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_fence_07.jsonl
MP_FENCE,message_passing,true,8,20860,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_fence_08.jsonl
MP_FENCE,message_passing,true,9,20957,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_fence_09.jsonl
MP_FENCE,message_passing,true,10,21054,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_fence_10.jsonl
MP_FENCE,message_passing,true,11,21151,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_fence_11.jsonl
MP_FENCE,message_passing,true,12,21248,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_fence_12.jsonl
MP_FENCE,message_passing,true,13,21345,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_fence_13.jsonl
MP_FENCE,message_passing,true,14,21442,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_fence_14.jsonl
MP_FENCE,message_passing,true,15,21539,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_fence_15.jsonl
MP_FENCE,message_passing,true,16,21636,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_fence_16.jsonl
MP_FENCE,message_passing,true,17,21733,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_fence_17.jsonl
MP_FENCE,message_passing,true,18,21830,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_fence_18.jsonl
MP_FENCE,message_passing,true,19,21927,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_fence_19.jsonl
MP_FENCE,message_passing,true,20,22024,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_fence_20.jsonl
MP_FENCE,message_passing,true,21,22121,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_fence_21.jsonl
MP_FENCE,message_passing,true,22,22218,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_fence_22.jsonl
MP_FENCE,message_passing,true,23,22315,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_fence_23.jsonl
MP_FENCE,message_passing,true,24,22412,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/mp_fence_24.jsonl
LB,load_buffering,false,0,19621,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/lb_00.jsonl
LB,load_buffering,false,1,19718,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/lb_01.jsonl
LB,load_buffering,false,2,19815,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/lb_02.jsonl
LB,load_buffering,false,3,19912,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/lb_03.jsonl
LB,load_buffering,false,4,20009,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/lb_04.jsonl
LB,load_buffering,false,5,20106,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/lb_05.jsonl
LB,load_buffering,false,6,20203,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/lb_06.jsonl
LB,load_buffering,false,7,20300,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/lb_07.jsonl
LB,load_buffering,false,8,20397,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/lb_08.jsonl
LB,load_buffering,false,9,20494,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/lb_09.jsonl
LB,load_buffering,false,10,20591,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/lb_10.jsonl
LB,load_buffering,false,11,20688,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/lb_11.jsonl
LB,load_buffering,false,12,20785,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/lb_12.jsonl
LB,load_buffering,false,13,20882,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/lb_13.jsonl
LB,load_buffering,false,14,20979,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/lb_14.jsonl
