evidence_category,scenario,checker,status,first_mismatch
rtl_litmus_herd,SB:0,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,SB:1,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,SB:2,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,SB:3,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,SB:4,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,SB:5,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,SB:6,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,SB:7,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,SB:8,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,SB:9,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,SB:10,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,SB:11,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,SB:12,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,SB:13,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,SB:14,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,SB:15,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,SB:16,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,SB:17,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,SB:18,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,SB:19,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,SB:20,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,SB:21,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,SB:22,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,SB:23,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,SB:24,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,SB_FENCE:0,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,SB_FENCE:1,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,SB_FENCE:2,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,SB_FENCE:3,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,SB_FENCE:4,RTL+coherence_model+exact_herd7,PASS,none
