litmus,family,fenced,schedule,seed,issue_stall_percent,backpressure_percent,r0,r1,outcome,herd_allowed_outcomes,status,first_mismatch,cycles,simultaneous_bank_cycles,axi_wait_cycles,rvfi_trace,event_trace,enriched_trace
SB,store_buffering,false,0,33052,0,0,1,1,"1,1",4,PASS,none,113,0,19,build/coherent/rtl_litmus_traces/sb_00_rvfi.csv,build/coherent/rtl_litmus_traces/sb_00_events.csv,build/coherent/rtl_litmus_traces/sb_00_enriched.jsonl
SB,store_buffering,false,1,33183,10,0,1,1,"1,1",4,PASS,none,114,0,19,build/coherent/rtl_litmus_traces/sb_01_rvfi.csv,build/coherent/rtl_litmus_traces/sb_01_events.csv,build/coherent/rtl_litmus_traces/sb_01_enriched.jsonl
SB,store_buffering,false,2,33314,25,0,1,1,"1,1",4,PASS,none,118,0,14,build/coherent/rtl_litmus_traces/sb_02_rvfi.csv,build/coherent/rtl_litmus_traces/sb_02_events.csv,build/coherent/rtl_litmus_traces/sb_02_enriched.jsonl
SB,store_buffering,false,3,33445,40,0,1,1,"1,1",4,PASS,none,126,0,17,build/coherent/rtl_litmus_traces/sb_03_rvfi.csv,build/coherent/rtl_litmus_traces/sb_03_events.csv,build/coherent/rtl_litmus_traces/sb_03_enriched.jsonl
SB,store_buffering,false,4,33576,55,0,1,1,"1,1",4,PASS,none,141,0,13,build/coherent/rtl_litmus_traces/sb_04_rvfi.csv,build/coherent/rtl_litmus_traces/sb_04_events.csv,build/coherent/rtl_litmus_traces/sb_04_enriched.jsonl
SB,store_buffering,false,5,33707,0,25,1,1,"1,1",4,PASS,none,118,0,25,build/coherent/rtl_litmus_traces/sb_05_rvfi.csv,build/coherent/rtl_litmus_traces/sb_05_events.csv,build/coherent/rtl_litmus_traces/sb_05_enriched.jsonl
SB,store_buffering,false,6,33838,10,25,1,1,"1,1",4,PASS,none,125,0,33,build/coherent/rtl_litmus_traces/sb_06_rvfi.csv,build/coherent/rtl_litmus_traces/sb_06_events.csv,build/coherent/rtl_litmus_traces/sb_06_enriched.jsonl
SB,store_buffering,false,7,33969,25,25,1,1,"1,1",4,PASS,none,120,0,20,build/coherent/rtl_litmus_traces/sb_07_rvfi.csv,build/coherent/rtl_litmus_traces/sb_07_events.csv,build/coherent/rtl_litmus_traces/sb_07_enriched.jsonl
SB,store_buffering,false,8,34100,40,25,1,1,"1,1",4,PASS,none,128,0,18,build/coherent/rtl_litmus_traces/sb_08_rvfi.csv,build/coherent/rtl_litmus_traces/sb_08_events.csv,build/coherent/rtl_litmus_traces/sb_08_enriched.jsonl
SB,store_buffering,false,9,34231,55,25,1,1,"1,1",4,PASS,none,149,0,15,build/coherent/rtl_litmus_traces/sb_09_rvfi.csv,build/coherent/rtl_litmus_traces/sb_09_events.csv,build/coherent/rtl_litmus_traces/sb_09_enriched.jsonl
SB,store_buffering,false,10,34362,0,50,1,1,"1,1",4,PASS,none,120,0,33,build/coherent/rtl_litmus_traces/sb_10_rvfi.csv,build/coherent/rtl_litmus_traces/sb_10_events.csv,build/coherent/rtl_litmus_traces/sb_10_enriched.jsonl
SB,store_buffering,false,11,34493,10,50,1,1,"1,1",4,PASS,none,124,0,35,build/coherent/rtl_litmus_traces/sb_11_rvfi.csv,build/coherent/rtl_litmus_traces/sb_11_events.csv,build/coherent/rtl_litmus_traces/sb_11_enriched.jsonl
SB,store_buffering,false,12,34624,25,50,1,1,"1,1",4,PASS,none,135,0,40,build/coherent/rtl_litmus_traces/sb_12_rvfi.csv,build/coherent/rtl_litmus_traces/sb_12_events.csv,build/coherent/rtl_litmus_traces/sb_12_enriched.jsonl
SB,store_buffering,false,13,34755,40,50,1,1,"1,1",4,PASS,none,127,0,34,build/coherent/rtl_litmus_traces/sb_13_rvfi.csv,build/coherent/rtl_litmus_traces/sb_13_events.csv,build/coherent/rtl_litmus_traces/sb_13_enriched.jsonl
SB,store_buffering,false,14,34886,55,50,0,1,"0,1",4,PASS,none,159,0,30,build/coherent/rtl_litmus_traces/sb_14_rvfi.csv,build/coherent/rtl_litmus_traces/sb_14_events.csv,build/coherent/rtl_litmus_traces/sb_14_enriched.jsonl
SB,store_buffering,false,15,35017,0,75,1,1,"1,1",4,PASS,none,161,0,113,build/coherent/rtl_litmus_traces/sb_15_rvfi.csv,build/coherent/rtl_litmus_traces/sb_15_events.csv,build/coherent/rtl_litmus_traces/sb_15_enriched.jsonl
SB,store_buffering,false,16,35148,10,75,1,1,"1,1",4,PASS,none,149,0,89,build/coherent/rtl_litmus_traces/sb_16_rvfi.csv,build/coherent/rtl_litmus_traces/sb_16_events.csv,build/coherent/rtl_litmus_traces/sb_16_enriched.jsonl
SB,store_buffering,false,17,35279,25,75,1,1,"1,1",4,PASS,none,158,0,94,build/coherent/rtl_litmus_traces/sb_17_rvfi.csv,build/coherent/rtl_litmus_traces/sb_17_events.csv,build/coherent/rtl_litmus_traces/sb_17_enriched.jsonl
SB,store_buffering,false,18,35410,40,75,1,1,"1,1",4,PASS,none,186,0,113,build/coherent/rtl_litmus_traces/sb_18_rvfi.csv,build/coherent/rtl_litmus_traces/sb_18_events.csv,build/coherent/rtl_litmus_traces/sb_18_enriched.jsonl
SB,store_buffering,false,19,35541,55,75,1,1,"1,1",4,PASS,none,168,0,70,build/coherent/rtl_litmus_traces/sb_19_rvfi.csv,build/coherent/rtl_litmus_traces/sb_19_events.csv,build/coherent/rtl_litmus_traces/sb_19_enriched.jsonl
SB,store_buffering,false,20,35672,0,0,1,1,"1,1",4,PASS,none,113,0,19,build/coherent/rtl_litmus_traces/sb_20_rvfi.csv,build/coherent/rtl_litmus_traces/sb_20_events.csv,build/coherent/rtl_litmus_traces/sb_20_enriched.jsonl
