mutation,status,detection_bucket,detail
skipped_invalidation,DETECTED,coherence_assertion,nonzero_or_scoreboard_failure
stale_intervention_data,DETECTED,firmware_scoreboard,nonzero_or_scoreboard_failure
illegal_dual_modified,DETECTED,single_modified_assertion,nonzero_or_scoreboard_failure
dropped_buffered_store,DETECTED,firmware_scoreboard,nonzero_or_scoreboard_failure
broken_same_address_forwarding,DETECTED,forwarding_scoreboard,nonzero_or_scoreboard_failure
early_fence_completion,DETECTED,fence_order_assertion,nonzero_or_scoreboard_failure
response_hart_corruption,DETECTED,response_owner_assertion,nonzero_or_scoreboard_failure
axi_home_id_corruption,DETECTED,axi_id_assertion,nonzero_or_scoreboard_failure
bank_alias_misroute,DETECTED,bank_route_assertion,nonzero_or_scoreboard_failure
failed_store_pop,DETECTED,deferred_store_scoreboard,nonzero_or_scoreboard_failure
older_store_forwarded,DETECTED,youngest_forwarding_scoreboard,assertion_or_scoreboard_failure
younger_store_drains_past_failed_head,DETECTED,failed_head_ordering_check,assertion_or_scoreboard_failure
premature_fence_completion,DETECTED,fence_quiescence_assertion,assertion_or_scoreboard_failure
dirty_victim_writeback_skipped,DETECTED,dirty_replacement_check,assertion_or_scoreboard_failure
simultaneous_bank_owner_swap,DETECTED,response_owner_assertion,assertion_or_scoreboard_failure
failed_enqueue_occupancy_lost,DETECTED,failed_head_occupancy_check,assertion_or_scoreboard_failure
stale_reset_epoch_response,DETECTED,reset_epoch_containment,reset_epoch_assertion
