seed,operations,status,mismatches,read_miss,write_miss,invalidations,interventions,writebacks,trace
20736,120,PASS,0,65,26,13,12,12,build/msi_random/traces/seed_20736.csv
20833,120,PASS,0,64,17,18,17,7,build/msi_random/traces/seed_20833.csv
20930,120,PASS,0,50,24,16,11,14,build/msi_random/traces/seed_20930.csv
21027,120,PASS,0,57,24,9,8,17,build/msi_random/traces/seed_21027.csv
21124,120,PASS,0,65,17,10,9,8,build/msi_random/traces/seed_21124.csv
21221,120,PASS,0,58,14,9,10,10,build/msi_random/traces/seed_21221.csv
21318,120,PASS,0,53,24,8,7,19,build/msi_random/traces/seed_21318.csv
21415,120,PASS,0,69,13,5,3,19,build/msi_random/traces/seed_21415.csv
21512,120,PASS,0,67,19,6,10,10,build/msi_random/traces/seed_21512.csv
21609,120,PASS,0,56,23,8,10,17,build/msi_random/traces/seed_21609.csv
21706,120,PASS,0,64,16,5,6,12,build/msi_random/traces/seed_21706.csv
21803,120,PASS,0,59,15,8,7,14,build/msi_random/traces/seed_21803.csv
21900,120,PASS,0,65,18,11,16,9,build/msi_random/traces/seed_21900.csv
21997,120,PASS,0,55,22,12,8,14,build/msi_random/traces/seed_21997.csv
22094,120,PASS,0,63,27,11,8,18,build/msi_random/traces/seed_22094.csv
22191,120,PASS,0,59,18,8,9,15,build/msi_random/traces/seed_22191.csv
22288,120,PASS,0,60,24,11,11,16,build/msi_random/traces/seed_22288.csv
22385,120,PASS,0,53,21,10,10,14,build/msi_random/traces/seed_22385.csv
22482,120,PASS,0,71,14,7,7,8,build/msi_random/traces/seed_22482.csv
22579,120,PASS,0,59,19,16,13,11,build/msi_random/traces/seed_22579.csv
22676,120,PASS,0,70,12,11,10,8,build/msi_random/traces/seed_22676.csv
22773,120,PASS,0,61,20,10,7,14,build/msi_random/traces/seed_22773.csv
22870,120,PASS,0,57,23,14,13,15,build/msi_random/traces/seed_22870.csv
22967,120,PASS,0,66,21,10,11,15,build/msi_random/traces/seed_22967.csv
23064,120,PASS,0,57,19,12,11,13,build/msi_random/traces/seed_23064.csv
