point,status,evidence
two_mshrs_occupied,COVERED,dual_miss_reorder
out_of_order_refill_completion,COVERED,dual_miss_reorder
hit_under_miss,COVERED,hit_under_miss
same_line_miss_merge,COVERED,same_line_merge
dirty_eviction_buffer,COVERED,dirty_eviction
refill_error_no_install,COVERED,refill_error
writeback_error_preserves_dirty,COVERED,writeback_error_preserve
response_backpressure,COVERED,response_backpressure
reset_cancels_outstanding,COVERED,reset_outstanding
randomized_hazards,COVERED,random
serialized_reference_window,COVERED,performance_serial
two_entry_request_window,COVERED,performance_windowed
