backpressure_percent,kind,count,mean,p50,p95,max,throughput_req_per_cycle,observed_stall_fraction
0,clean-miss,47,13.00,13,13,13,0.0509,0.0000
0,dirty-miss,46,19.00,19,19,19,0.0509,0.0000
0,hit,10,2.00,2,2,2,0.0509,0.0000
0,maintenance-flush,1,141.00,141,141,141,0.0509,0.0000
0,maintenance-flush-invalidate,1,135.00,135,135,135,0.0509,0.0000
0,maintenance-invalidate,1,129.00,129,129,129,0.0509,0.0000
25,clean-miss,47,14.96,15,16,16,0.0453,0.1562
25,dirty-miss,46,22.26,23,23,23,0.0453,0.1562
25,hit,10,2.00,2,2,2,0.0453,0.1562
25,maintenance-flush,1,146.00,146,146,146,0.0453,0.1562
25,maintenance-flush-invalidate,1,136.00,136,136,136,0.0453,0.1562
25,maintenance-invalidate,1,129.00,129,129,129,0.0453,0.1562
50,clean-miss,47,17.04,18,18,18,0.0401,0.2976
50,dirty-miss,46,26.43,26,29,29,0.0401,0.2976
50,hit,10,2.00,2,2,2,0.0401,0.2976
50,maintenance-flush,1,151.00,151,151,151,0.0401,0.2976
50,maintenance-flush-invalidate,1,138.00,138,138,138,0.0401,0.2976
50,maintenance-invalidate,1,129.00,129,129,129,0.0401,0.2976
75,clean-miss,47,23.47,23,26,29,0.0280,0.5361
75,dirty-miss,46,43.41,45,45,48,0.0280,0.5361
75,hit,10,2.00,2,2,2,0.0280,0.5361
75,maintenance-flush,1,169.00,169,169,169,0.0280,0.5361
75,maintenance-flush-invalidate,1,148.00,148,148,148,0.0280,0.5361
75,maintenance-invalidate,1,129.00,129,129,129,0.0280,0.5361
