metric,value
directed_regression,22 / 22
functional_coverage,21 / 21
seeded_stress,100 / 100
trace_replay,127 / 127
interaction_coverage,55 / 55
mutation_detection,4 / 4
secded_ras_coverage,7 / 7
optional_msi_coherence,16 / 16
msi_model_random,25 / 25
msi_mutations,3 / 3
sram_bist,7 / 7
integrated_cache_array_bist,2 / 2
optional_nonblocking_cache,11 / 11
nonblocking_targeted_coverage,12 / 12
nonblocking_window_speedup,2.080x
dual_rv32_gcc_matrix,24 / 24
rvwmo_litmus_schedules,400 / 400
pinned_herd7_litmus_oracle,16 / 16
coherent_seeded_workloads,50 / 50
coherent_functional_coverage,64 / 64
coherent_cross_coverage,48 / 48
coherent_crossover_closure,34 / 34
coherent_advanced_cross_coverage,48 / 48
coherent_assertion_activation,20 / 20
coherent_mutations,17 / 17
coherent_formal_groups,10 / 10
coherent_error_reset,9 / 9
coherent_qos_concurrency,6 / 6
coherent_rtl_performance_rows,80 / 80
coherent_rtl_line_branch_coverage,95.28% / 92.86%
coherent_named_assertions,18
coherent_reference_checks,895 / 895
raw_baseline_line_coverage,69.01%
reviewed_baseline_line_coverage,96.43%
raw_2way_execution_union_line_coverage,76.06%
raw_baseline_branch_coverage,76.19%
raw_baseline_toggle_coverage,57.45%
