test,status,requests,responses,hits,misses,evictions,errors,cycles,log
smoke,PASS,4,4,4,1,0,0,169,reports/smoke.log
read_miss,PASS,1,1,1,1,0,0,154,reports/read_miss.log
read_hit,PASS,2,2,2,1,0,0,157,reports/read_hit.log
write_miss,PASS,2,2,2,1,0,0,163,reports/write_miss.log
write_hit,PASS,3,3,3,1,0,0,166,reports/write_hit.log
clean_evict,PASS,3,3,3,3,0,0,182,reports/clean_evict.log
dirty_evict,PASS,3,3,3,3,1,0,188,reports/dirty_evict.log
backpressure,PASS,3,3,3,3,1,0,200,reports/backpressure.log
read_error,PASS,2,2,1,2,0,1,167,reports/read_error.log
write_error,PASS,4,4,3,3,1,1,186,reports/write_error.log
byte_strobes,PASS,3,3,3,1,0,0,166,reports/byte_strobes.log
misaligned,PASS,2,2,1,1,0,1,157,reports/misaligned.log
maintenance,PASS,2,2,2,2,0,0,304,reports/maintenance.log
random,PASS,100,100,100,93,4,0,1715,reports/random.log
flush_only,PASS,2,2,2,1,0,0,293,reports/flush_only.log
invalidate_only,PASS,2,2,2,2,0,0,298,reports/invalidate_only.log
response_backpressure,PASS,1,1,1,1,0,0,160,reports/response_backpressure.log
reset_mid_refill,PASS,1,1,1,2,0,0,164,reports/reset_mid_refill.log
axi_channel_waits,PASS,4,4,4,4,1,0,214,reports/axi_channel_waits.log
maintenance_error,PASS,1,1,1,1,0,0,296,reports/maintenance_error.log
maintenance_final_dirty,PASS,2,2,2,2,0,0,310,reports/maintenance_final_dirty.log
maintenance_channel_waits,PASS,2,2,2,2,0,0,322,reports/maintenance_channel_waits.log
