scenario,family,seed,operations,read_percent,conflict_percent,backpressure_percent,error_percent,reset_operation,reset_phase,strobe_profile,address_profile,address_base,address_span,realized_requested_ops,realized_reads,realized_writes,realized_conflicts,realized_injections,realized_error_responses,realized_resets,realized_full_strobes,realized_single_strobes,realized_partial_strobes,realized_bp_pct,realized_axi_stalls,realized_axi_valid,realized_addr_profile,realized_strobe_profile,mapped_test,trace,status
0,cache_random,1988711901,200,25,0,0,0,-1,idle,full,hot-set,00004000,00010000,200,54,146,0,0,0,0,146,0,0,0,0,155,hot-set,full,random,build/verilator/traces/stress_000.csv,PASS
1,dirty_eviction,383924284,50,25,75,25,0,-1,idle,mixed,same-set,00004000,00010000,50,19,31,50,0,0,0,0,12,19,25,69,439,same-set,mixed,random,build/verilator/traces/stress_001.csv,PASS
2,axi_backpressure,439734634,50,75,25,25,0,-1,idle,single-byte,hot-set,00004000,00010000,50,40,10,0,0,0,0,0,10,0,25,12,147,hot-set,single-byte,random,build/verilator/traces/stress_002.csv,PASS
3,reset_error,102499033,200,25,75,50,5,164,writeback,mixed,same-set,00004000,00010000,200,59,141,200,4,4,1,0,42,99,50,751,2262,same-set,mixed,random,build/verilator/traces/stress_003.csv,PASS
4,cache_random,1208448092,200,75,50,0,0,-1,idle,single-byte,hot-set,00004000,00010000,200,144,56,0,0,0,0,0,56,0,0,0,160,hot-set,single-byte,random,build/verilator/traces/stress_004.csv,PASS
5,dirty_eviction,2122193656,200,25,75,50,0,-1,idle,mixed,same-set,00004000,00010000,200,56,144,200,0,0,0,0,49,95,50,759,2309,same-set,mixed,random,build/verilator/traces/stress_005.csv,PASS
6,axi_backpressure,1934908046,100,50,50,25,0,-1,idle,full,uniform,00004000,00010000,100,53,47,51,0,0,0,47,0,0,25,79,649,uniform,full,random,build/verilator/traces/stress_006.csv,PASS
7,reset_error,1754029706,100,75,25,50,0,42,refill,single-byte,sequential,00004000,00010000,100,74,26,0,0,0,1,0,26,0,50,13,89,sequential,single-byte,random,build/verilator/traces/stress_007.csv,PASS
8,cache_random,2024364798,100,25,0,0,0,-1,idle,full,same-set,00004000,00010000,100,22,78,100,0,0,0,78,0,0,0,0,800,same-set,full,random,build/verilator/traces/stress_008.csv,PASS
9,dirty_eviction,1535077308,200,25,75,0,0,-1,idle,single-byte,same-set,00004000,00010000,200,50,150,200,0,0,0,0,150,0,0,0,1525,same-set,single-byte,random,build/verilator/traces/stress_009.csv,PASS
10,axi_backpressure,502384232,200,25,25,50,0,-1,idle,mixed,uniform,00004000,00010000,200,53,147,42,0,0,0,0,40,107,50,474,1694,uniform,mixed,random,build/verilator/traces/stress_010.csv,PASS
11,reset_error,1657061839,50,50,0,0,0,19,refill,single-byte,sequential,00004000,00010000,50,25,25,0,0,0,1,0,25,0,0,1,47,sequential,single-byte,random,build/verilator/traces/stress_011.csv,PASS
12,cache_random,602462885,200,25,75,50,0,-1,idle,single-byte,hot-set,00004000,00010000,200,47,153,0,0,0,0,0,153,0,50,29,189,hot-set,single-byte,random,build/verilator/traces/stress_012.csv,PASS
13,dirty_eviction,190783161,200,25,75,75,0,-1,idle,full,same-set,00004000,00010000,200,56,144,200,0,0,0,144,0,0,75,1985,3505,same-set,full,random,build/verilator/traces/stress_013.csv,PASS
14,axi_backpressure,643952721,100,75,25,50,0,-1,idle,mixed,uniform,00004000,00010000,100,63,37,33,0,0,0,0,9,28,50,164,689,uniform,mixed,random,build/verilator/traces/stress_014.csv,PASS
15,reset_error,519327928,200,50,0,75,5,147,refill,mixed,uniform,00004000,00010000,200,107,93,0,8,8,1,0,23,70,75,615,1696,uniform,mixed,random,build/verilator/traces/stress_015.csv,PASS
16,cache_random,1730713048,100,50,50,25,0,-1,idle,full,uniform,00004000,00010000,100,49,51,43,0,0,0,51,0,0,25,66,611,uniform,full,random,build/verilator/traces/stress_016.csv,PASS
17,dirty_eviction,583961323,200,25,75,0,0,-1,idle,full,same-set,00004000,00010000,200,38,162,200,0,0,0,162,0,0,0,0,1575,same-set,full,random,build/verilator/traces/stress_017.csv,PASS
