coverage_group,point_type,raw_hit,raw_total,raw_percent,excluded,reviewed_hit,reviewed_total,reviewed_percent
baseline_2way,branch,63,72,87.50,16,53,56,94.64
baseline_2way,line,49,66,74.24,39,27,27,100.00
baseline_2way,toggle,760,1242,61.19,260,647,982,65.89
coverage_edges_2way,branch,58,72,80.56,16,48,56,85.71
coverage_edges_2way,line,48,66,72.73,39,26,27,96.30
coverage_edges_2way,toggle,646,1242,52.01,260,521,982,53.05
direct_mapped_variant,branch,48,72,66.67,16,38,56,67.86
direct_mapped_variant,line,45,63,71.43,39,23,24,95.83
direct_mapped_variant,toggle,414,1307,31.68,260,337,1047,32.19
secded_2way_variant,branch,53,72,73.61,0,53,72,73.61
secded_2way_variant,line,57,66,86.36,19,43,47,91.49
secded_2way_variant,toggle,386,1242,31.08,256,321,986,32.56
combined_structural_variants,branch,72,72,100.00,0,72,72,100.00
combined_structural_variants,line,59,67,88.06,19,45,48,93.75
combined_structural_variants,toggle,848,1437,59.01,256,714,1181,60.46
